total_cases,new_cases,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,cases_test_ratio,target,cases_lag_1,cases_lag_2
14788109.0,0.0,177150.0,0.0,1125.0,10374.54,124.28,0.0,0.79,1.39,272705103.0,1651711.0,193.74,1.17,1528813.0,1.09,0.18,5.4,132754608.0,113584269.0,19170339.0,3108503.0,2218728.0,9.37,8.01,1.35,1566.0,1605002.0,0.11,73.61,0.0,0.0,0.0,1429304.0
16960172.0,0.0,192311.0,0.0,2165.86,11898.34,134.92,0.0,1.52,1.29,279321177.0,1402367.0,198.44,1.0,1632375.0,1.16,0.2,4.9,142524947.0,119886252.0,22638695.0,3339774.0,2199405.0,10.06,8.46,1.6,1552.0,1461010.0,0.1,73.61,0.0,0.0,0.0,0.0
16960172.0,0.0,192311.0,0.0,2165.86,11898.34,134.92,0.0,1.52,1.26,280979877.0,1658700.0,199.62,1.18,1652263.0,1.17,0.21,4.9,144879233.0,121263287.0,23615946.0,2354286.0,2355946.0,10.22,8.56,1.67,1662.0,1513859.0,0.11,73.61,0.0,0.0,0.0,0.0
16960172.0,0.0,192311.0,0.0,2165.86,11898.34,134.92,0.0,1.52,1.24,282703789.0,1723912.0,200.85,1.23,1664342.0,1.18,0.21,4.8,147053392.0,122538179.0,24515213.0,2174159.0,2486755.0,10.38,8.65,1.73,1755.0,1552117.0,0.11,73.61,0.0,0.0,0.0,0.0
16960172.0,0.0,192311.0,0.0,2165.86,11898.34,134.92,0.0,1.52,1.21,284471979.0,1768190.0,202.1,1.26,1680982.0,1.19,0.21,4.7,149268772.0,123811908.0,25456864.0,2215380.0,2359166.0,10.53,8.74,1.8,1665.0,1461091.0,0.1,73.61,0.0,0.0,0.0,0.0
16960172.0,0.0,192311.0,0.0,2165.86,11898.34,134.92,0.0,1.52,1.19,286392086.0,1920107.0,203.47,1.36,1706633.0,1.21,0.21,4.7,151998107.0,125376952.0,26621155.0,2729335.0,2442854.0,10.73,8.85,1.88,1724.0,1484158.0,0.1,73.61,0.0,0.0,0.0,0.0
16960172.0,0.0,192311.0,0.0,2165.86,11898.34,134.92,0.0,1.52,1.17,288337385.0,1945299.0,204.85,1.38,1734023.0,1.23,0.21,4.7,153626325.0,126328970.0,27297355.0,1628218.0,2369239.0,10.84,8.91,1.93,1672.0,1419649.0,0.1,73.61,0.0,14.76997761165104,0.0,0.0
19557457.0,2597285.0,215542.0,23231.0,3318.71,13720.46,151.21,16.3,2.33,1.15,290142339.0,1804954.0,206.13,1.28,1746218.0,1.24,0.21,4.7,154211511.0,126704151.0,27507360.0,585186.0,2146620.0,10.88,8.94,1.94,1515.0,1272735.0,0.09,73.61,1.0,0.0,0.0,0.0
19557457.0,0.0,215542.0,0.0,3318.71,13720.46,151.21,0.0,2.33,1.13,291647037.0,1504698.0,207.2,1.07,1760837.0,1.25,0.21,4.7,156082136.0,127696675.0,28385461.0,1870625.0,1936741.0,11.01,9.01,2.0,1367.0,1115775.0,0.08,73.61,0.0,0.0,2597285.0,0.0
19557457.0,0.0,215542.0,0.0,3318.71,13720.46,151.21,0.0,2.33,1.12,293310779.0,1663742.0,208.38,1.18,1761557.0,1.25,0.22,4.6,157750752.0,128627919.0,29122833.0,1668616.0,1838788.0,11.13,9.08,2.05,1298.0,1052090.0,0.07,73.61,0.0,0.0,0.0,2597285.0
19557457.0,0.0,215542.0,0.0,3318.71,13720.46,151.21,0.0,2.33,1.1,294852078.0,1541299.0,209.48,1.1,1735470.0,1.23,0.22,4.5,159931238.0,129730641.0,30200597.0,2180486.0,1839692.0,11.29,9.15,2.13,1298.0,1027495.0,0.07,73.61,0.0,0.0,0.0,0.0
19557457.0,0.0,215542.0,0.0,3318.71,13720.46,151.21,0.0,2.33,1.08,296775209.0,1923131.0,210.84,1.37,1757604.0,1.25,0.22,4.5,162603603.0,131058890.0,31544713.0,2672365.0,1904976.0,11.47,9.25,2.23,1344.0,1035283.0,0.07,73.61,0.0,0.0,0.0,0.0
19557457.0,0.0,215542.0,0.0,3318.71,13720.46,151.21,0.0,2.33,1.06,298601699.0,1826490.0,212.14,1.3,1744230.0,1.24,0.22,4.5,165190000.0,132294827.0,32895173.0,2586397.0,1884556.0,11.66,9.34,2.32,1330.0,988268.0,0.07,73.61,0.0,0.0,0.0,0.0
19557457.0,0.0,215542.0,0.0,3318.71,13720.46,151.21,0.0,2.33,1.03,300410043.0,1808344.0,213.43,1.28,1724665.0,1.23,0.23,4.4,167493857.0,133366482.0,34127375.0,2303857.0,1981076.0,11.82,9.41,2.41,1398.0,1005359.0,0.07,73.61,0.0,14.82308811406412,0.0,0.0
22296414.0,2738957.0,242362.0,26820.0,3831.43,15641.96,170.03,18.82,2.69,1.01,302275471.0,1865428.0,214.75,1.32,1733305.0,1.23,0.23,4.4,168304868.0,133854676.0,34450192.0,811011.0,2013337.0,11.88,9.45,2.43,1421.0,1021504.0,0.07,73.61,1.0,0.0,0.0,0.0
22296414.0,0.0,242362.0,0.0,3831.43,15641.96,170.03,0.0,2.69,0.99,303750077.0,1474606.0,215.8,1.05,1729006.0,1.23,0.22,4.5,171098918.0,135192013.0,35906905.0,2794050.0,2145255.0,12.07,9.54,2.53,1514.0,1070763.0,0.08,81.94,0.0,0.0,2738957.0,0.0
22296414.0,0.0,242362.0,0.0,3831.43,15641.96,170.03,0.0,2.69,0.96,305600187.0,1850110.0,217.11,1.31,1755630.0,1.25,0.22,4.6,173862643.0,136557345.0,37305298.0,2763725.0,2301699.0,12.27,9.64,2.63,1624.0,1132775.0,0.08,81.94,0.0,0.0,0.0,2738957.0
22296414.0,0.0,242362.0,0.0,3831.43,15641.96,170.03,0.0,2.69,0.94,307583991.0,1983804.0,218.52,1.41,1818845.0,1.29,0.21,4.8,176045577.0,137805245.0,38240332.0,2182934.0,2302048.0,12.42,9.72,2.7,1624.0,1153515.0,0.08,81.94,0.0,0.0,0.0,0.0
22296414.0,0.0,242362.0,0.0,3831.43,15641.96,170.03,0.0,2.69,0.92,309448585.0,1864594.0,219.85,1.32,1810482.0,1.29,0.2,5.0,178361846.0,139087590.0,39274256.0,2316269.0,2251178.0,12.59,9.81,2.77,1588.0,1146957.0,0.08,81.94,0.0,0.0,0.0,0.0
